"Iteration" "Assoc_Stat" "S_IBS" "S_AM" "S_AS" "S_LIN" "S_REC" "S_QUAD" "S_012" "S_123" "S_124" "S_h1" "skat.kernel" "tree1" "tree2" "tree3" "tree4" "tree5"
"136" 46 "GTSR" 0.68 0.68 0.74 0.788 0.974 0.842 0.96 0.83 0.782 0.886 0 0.802 0.802 0.39 0.266 0.266
"138" 48 "GTSR" 0 0 0 0.596 0.866 0.662 0 0.034 0.028 0.002 0 0 0 0.006 0.012 0.012
"139" 49 "GTSR" 0 0 0.004 0.74 0.976 0.802 0.002 0.164 0.14 0.008 0 0.006 0.006 0 0 0
"141" 51 "GTSR" 0.17 0.17 0.28 0.858 0.832 0.858 0.454 0.816 0.928 0.304 0.056 0.012 0.012 0 0 0
"144" 54 "GTSR" 0.764 0.764 0.98 0.766 0.974 0.798 0.814 0.744 0.844 0.836 0 0.534 0.534 0.232 0.204 0.204
"146" 56 "GTSR" 0 0 0.002 0.972 0.934 0.938 0.03 0.222 0.294 0.014 0 0.048 0.048 0 0 0
"149" 59 "GTSR" 0.494 0.494 0.784 0.814 0.832 0.806 0.88 0.936 0.95 0.576 0.318 0.638 0.638 0.922 0.97 0.97
"151" 31 "MDMR" 0.058 0.062 0.052 0.458 0.2 0.818 0.078 0.034 0.068 0.06 0 0.014 0.02 0.072 0.08 0.068
"157" 37 "MDMR" 0.182 0.188 0.336 0.222 0.906 0.414 0.366 0.244 0.316 0.208 0 0.234 0.194 0.01 0.012 0.022
"161" 41 "MDMR" 0.17 0.184 0.098 0.384 0.266 0.892 0.134 0.19 0.2 0.156 0.06 0.36 0.384 0.24 0.252 0.302
"164" 44 "MDMR" 0.056 0.064 0.018 0 0.322 0 0.182 0.096 0.358 0.148 0 0.204 0.188 0.034 0.016 0.02
"166" 46 "MDMR" 0.186 0.18 0.124 0 0.076 0.034 0.314 0.27 0.464 0.308 0.022 0.222 0.246 0.1 0.074 0.062
"168" 48 "MDMR" 0 0 0 0.004 0.036 0.046 0.006 0 0.002 0.002 0 0.004 0.002 0.108 0.148 0.16
"169" 49 "MDMR" 0.002 0.002 0.002 0 0.706 0.002 0.008 0.006 0.012 0.002 0 0.024 0.012 0.01 0.01 0.006
"171" 51 "MDMR" 0.048 0.026 0.102 0 0.208 0.006 0.12 0.08 0.106 0.068 0 0.004 0.014 0.006 0.024 0.012
"174" 54 "MDMR" 0.202 0.16 0.066 0.072 0.448 0.102 0.134 0.316 0.24 0.424 0.026 0.63 0.65 0.032 0.036 0.038
"176" 56 "MDMR" 0.002 0.006 0 0.41 0.23 0.252 0.062 0.02 0.074 0.018 0 0.03 0.016 0 0 0
"179" 59 "MDMR" 0.764 0.764 0.856 0.43 0.814 0.576 0.87 0.788 0.822 0.732 0.538 0.754 0.738 0.384 0.394 0.372
"182" 62 "SKAT" 0.0315523886469875 0.0315523886469875 0.0315523886469874 1 1 1 0.0578655195662254 0.0578655195662253 0.110507807610911 0.0578655195662254 1.63201166195615e-05 0.150787595772957 0.150787595772957 0.0825836224107852 0.102231950778001 0.102231950778002
"184" 64 "SKAT" 0.10566174899024 0.10566174899024 0.105661748990239 1 0.999991397863976 0.999900656998191 0.103336287089011 0.10333628708901 0.125398044788756 0.103336287089011 4.75059163593805e-05 0.386467259149691 0.386467259149691 0.0608388180087547 0.0819461636727656 0.0819461636727656
"186" 66 "SKAT" 0.124871793003474 0.124871793003474 0.124871793003474 1 1 1 0.0974312364950838 0.0974312364950836 0.0950130802374458 0.0974312364950838 0.00205051029596826 0.125681787842859 0.12568178784286 0.166244382644555 0.163472672850431 0.163472672850432
