"Iteration" "Assoc_Stat" "P-val"
"940" 940 "SLT" 0.0672546831313636
"941" 941 "SLT" 0.644934230730106
"942" 942 "SLT" 0.0125701975824595
"943" 943 "SLT" 0.0507364230709913
"944" 944 "SLT" 0.45549982885376
"952" 952 "SLT" 0.107993912839854
"955" 955 "SLT" 0.115947204198342
"957" 957 "SLT" 0.205936136361379
"958" 958 "SLT" 1.02835368045449
"962" 962 "SLT" 0.0871666007952838
"964" 964 "SLT" 0.0016489099907039
"967" 967 "SLT" 0.224101485213844
"968" 968 "SLT" 7.91004775099755e-05
"970" 970 "SLT" 6.43010652179909e-05
"972" 972 "SLT" 0.00183650180659735
"975" 975 "SLT" 1.4180716526892
"977" 977 "SLT" 0.000239685419403626
"978" 978 "SLT" 0.000321465784028526
"981" 981 "SLT" 0.0306014042611666
"987" 987 "SLT" 0.718520948493859
"989" 989 "SLT" 0.353903853399169
"990" 990 "SLT" 0.12617405186691
"995" 995 "SLT" 0.149787383012284
"997" 997 "SLT" 0.00324311285361108
"999" 999 "SLT" 0.0213271475732158
"1002" 1002 "SLT" 0.0294817302136289
"1004" 1004 "SLT" 0.00802208261512074
"1006" 1006 "SLT" 0.191655912291071
"1012" 1012 "SLT" 0.0131411703569132
"1014" 1014 "SLT" 0.0101969743435566
"1016" 1016 "SLT" 0.00308957624169368
"1017" 1017 "SLT" 0.0145366091502011
"1018" 1018 "SLT" 0.171594160175408
"1019" 1019 "SLT" 0.684100191658973
"1023" 1023 "SLT" 0.361435014306802
"1025" 1025 "SLT" 0.00297722182572588
"1033" 1033 "SLT" 0.0572756813247123
"1035" 1035 "SLT" 0.00822548610845492
"1038" 1038 "SLT" 0.00693648344296984
"1044" 1044 "SLT" 0.230588922127963
"1045" 1045 "SLT" 0.551290382764536
"1046" 1046 "SLT" 0.209921918605912
"1048" 1048 "SLT" 0.236830633281891
"1052" 1052 "SLT" 0.223759226747143
"1054" 1054 "SLT" 0.0864173782552596
"1055" 1055 "SLT" 0.0204978557567839
"1056" 1056 "SLT" 0.0171767054292788
"1057" 1057 "SLT" 0.022690889056832
"1063" 1063 "SLT" 0.760982329984706
"1070" 1070 "SLT" 0.000534202939576739
"1076" 1076 "SLT" 0.000117516499919427
"1079" 1079 "SLT" 0.171797753732795
"1082" 1082 "SLT" 0.00420392282882523
"1084" 1084 "SLT" 0.00198352170123532
"1085" 1085 "SLT" 2.16846561439212e-05
"1092" 1092 "SLT" 1.83823638725191e-05
"1094" 1094 "SLT" 0.114340234003977
"1100" 1100 "SLT" 0.0105061576130686
"1102" 1102 "SLT" 0.780134046743192
"1103" 1103 "SLT" 0.0525570284517073
"1104" 1104 "SLT" 0.0479614227225484
"1106" 1106 "SLT" 1.18472969707794e-06
"1107" 1107 "SLT" 1.16947546463549
"1108" 1108 "SLT" 0.0145965299944138
"1112" 1112 "SLT" 0.609022727749833
"1114" 1114 "SLT" 0.0719599537567541
"1120" 1120 "SLT" 0.000533717690780539
"1121" 1121 "SLT" 0.000759561222760088
"1122" 1122 "SLT" 0.0429652906591426
"1123" 1123 "SLT" 0.044988766360095
"1125" 1125 "SLT" 0.0310618892875579
"1126" 1126 "SLT" 0.198510052150643
"1128" 1128 "SLT" 0.00187648066908094
"1129" 1129 "SLT" 0.0012690122744504
"1130" 1130 "SLT" 0.0235973391071044
"1134" 1134 "SLT" 0.381915379895308
"1135" 1135 "SLT" 0.0222222728376344
"1136" 1136 "SLT" 0.0916134496402314
"1137" 1137 "SLT" 0.197994380492058
"1140" 1140 "SLT" 5.53078669437326e-05
"1142" 1142 "SLT" 0.000658273435878755
"1144" 1144 "SLT" 0.00698942350792567
"1148" 1148 "SLT" 0.00808882462869743
"1149" 1149 "SLT" 0.431945206633257
"1150" 1150 "SLT" 0.0241801603617006
"1152" 1152 "SLT" 0.114278840815916
"1157" 1157 "SLT" 0.00327691128788865
"1159" 1159 "SLT" 0.0279308968743268
"1160" 1160 "SLT" 0.0151099300426186
"1163" 1163 "SLT" 0.123183112761819
"1164" 1164 "SLT" 7.98908187097868e-07
"1166" 1166 "SLT" 0.0613320338793559
"1169" 1169 "SLT" 0.242621919349407
"1171" 1171 "SLT" 0.0309997050817599
"1172" 1172 "SLT" 0.000400575271414767
"1173" 1173 "SLT" 0.133911119134458
"1174" 1174 "SLT" 0.0631000946189887
"1175" 1175 "SLT" 1.98843735692578e-05
"1176" 1176 "SLT" 0.108354711735406
"1178" 1178 "SLT" 0.0127111303754361
"1179" 1179 "SLT" 0.260091366735033
"1181" 1181 "SLT" 0.00243679771409135
"1182" 1182 "SLT" 0.00186838763946548
"1185" 1185 "SLT" 0.000943409667599427
"1190" 1190 "SLT" 0.0238256500649129
"1191" 1191 "SLT" 0.00105649702552992
"1192" 1192 "SLT" 0.458520784477925
"1196" 1196 "SLT" 0.00263087328589008
"1197" 1197 "SLT" 0.0754999939122011
"1198" 1198 "SLT" 0.251313475759303
"1199" 1199 "SLT" 0.0169874243939272
"1201" 1201 "SLT" 0.41783298544024
"1202" 1202 "SLT" 0.112574857295683
"1203" 1203 "SLT" 0.0064111200496315
"1204" 1204 "SLT" 0.000579878737287597
"1205" 1205 "SLT" 0.000319652893031335
"1206" 1206 "SLT" 0.000782202584547245
"1207" 1207 "SLT" 0.0648459303715536
"1213" 1213 "SLT" 0.0721509054297761
"1215" 1215 "SLT" 0.13486335980405
"1216" 1216 "SLT" 0.201982424677765
"1218" 1218 "SLT" 0.0132979466682245
"1219" 1219 "SLT" 0.0068339159082849
"1220" 1220 "SLT" 1.09732809158407
"1221" 1221 "SLT" 0.00662985664058922
"1222" 1222 "SLT" 0.294036752151034
"1223" 1223 "SLT" 0.0376935028102235
"1228" 1228 "SLT" 0.000359395258887902
"1229" 1229 "SLT" 0.000464021904690464
"1230" 1230 "SLT" 0.00139883895693604
"1232" 1232 "SLT" 0.00345389124638132
"1233" 1233 "SLT" 0.145572607110381
"1242" 1242 "SLT" 0.00018976056074752
"1244" 1244 "SLT" 0.000138042668065861
"1250" 1250 "SLT" 0.0407921748252477
"1251" 1251 "SLT" 0.231928060136048
"1252" 1252 "SLT" 0.0187494092377022
"1255" 1255 "SLT" 0.171021084746385
"1257" 1257 "SLT" 0.000345379739359189
"1258" 1258 "SLT" 0.00247199447930594
"1260" 1260 "SLT" 0.0504076066226906
"1264" 1264 "SLT" 0.126776737815859
"1266" 1266 "SLT" 0.0462113573946218
"1268" 1268 "SLT" 7.23507427607453e-07
"1276" 1276 "SLT" 0.000827101758834999
"1279" 1279 "SLT" 0.00133790653060012
"1286" 1286 "SLT" 0.929438654722698
"1289" 1289 "SLT" 0.11170720458541
"1290" 1290 "SLT" 0.00663585478014672
"1291" 1291 "SLT" 0.216236040175164
"1293" 1293 "SLT" 0.000642858315165376
"1296" 1296 "SLT" 0.441729679094467
"1299" 1299 "SLT" 0.0025827224556123
"1301" 1301 "SLT" 0.504460246815988
"1303" 1303 "SLT" 0.00217139360162443
"1304" 1304 "SLT" 0.0327042591167601
"1305" 1305 "SLT" 0.103430067631327
"1307" 1307 "SLT" 1.45553737467429
"1311" 1311 "SLT" 0.00157594816363823
"1312" 1312 "SLT" 0.00505574152244657
"1314" 1314 "SLT" 0.0297311347621623
"1321" 1321 "SLT" 0.0352971362384416
"1323" 1323 "SLT" 0.896192437130366
"1324" 1324 "SLT" 0.0945868935280167
"1330" 1330 "SLT" 0.010934693907767
"1331" 1331 "SLT" 0.0056560490969744
"1332" 1332 "SLT" 0.00873059970043954
"1339" 1339 "SLT" 0.0376895113763664
"1340" 1340 "SLT" 0.235490588233561
"1341" 1341 "SLT" 1.51061199897621
"1342" 1342 "SLT" 0.000525241216626301
"1345" 1345 "SLT" 0.0176274453069768
"1350" 1350 "SLT" 0.000878295602357591
"1352" 1352 "SLT" 0.00795053059022256
"1358" 1358 "SLT" 0.0190016026591323
